,Path,Celebrity,Feature_Embedding
11,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero119_18.jpg,pins_Ursula Corbero,[0.31246093 0.09859941 0.01919156 ... 0.03700125 0.01423575 0.00426313]
12,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero153_42.jpg,pins_Ursula Corbero,[0.06810962 0.01585789 0.0330938  ... 0.00421376 0.00620782 0.01624173]
13,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero179_62.jpg,pins_Ursula Corbero,[0.19145444 0.07684898 0.0258554  ... 0.03750104 0.07407671 0.01452071]
14,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero16_46.jpg,pins_Ursula Corbero,[0.23525308 0.01083118 0.05856469 ... 0.06996638 0.02482487 0.03052354]
15,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero12_19.jpg,pins_Ursula Corbero,[0.0699233  0.00904623 0.01441075 ... 0.04409802 0.         0.03040934]
16,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero94_164.jpg,pins_Ursula Corbero,[0.300724   0.02571927 0.01369456 ... 0.05429801 0.00956181 0.02670831]
17,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero164_51.jpg,pins_Ursula Corbero,[0.42418367 0.00597438 0.03046488 ... 0.11721995 0.00653158 0.01313058]
18,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero89_159.jpg,pins_Ursula Corbero,[0.1935913  0.01704416 0.02502799 ... 0.07139595 0.00645133 0.03124161]
19,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero146_35.jpg,pins_Ursula Corbero,[0.07923604 0.00923579 0.01416759 ... 0.04952912 0.         0.04355421]
20,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero80_153.jpg,pins_Ursula Corbero,[0.09313633 0.01879029 0.02677415 ... 0.06078234 0.00012664 0.04231701]
21,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero70_144.jpg,pins_Ursula Corbero,[0.04082189 0.03057707 0.02018072 ... 0.06593655 0.         0.02496876]
22,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero27_113.jpg,pins_Ursula Corbero,[0.30920553 0.04400592 0.02236375 ... 0.04194035 0.01788201 0.00533745]
23,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero151_40.jpg,pins_Ursula Corbero,[0.45391908 0.00538023 0.02634673 ... 0.11910591 0.01483494 0.01514133]
24,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero249_111.jpg,pins_Ursula Corbero,[0.24297796 0.00494226 0.01428671 ... 0.04990028 0.02588749 0.02221676]
25,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero64_139.jpg,pins_Ursula Corbero,[0.09828538 0.02878715 0.01578431 ... 0.04584327 0.00578466 0.02773697]
26,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero101_4.jpg,pins_Ursula Corbero,[0.14246547 0.01359539 0.02535076 ... 0.05076271 0.00199574 0.02377911]
27,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero229_97.jpg,pins_Ursula Corbero,[0.253639   0.01218186 0.0237935  ... 0.02580175 0.00364411 0.01782469]
28,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero53_131.jpg,pins_Ursula Corbero,[0.03155948 0.0540517  0.0594845  ... 0.03427177 0.         0.03017302]
29,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero81_154.jpg,pins_Ursula Corbero,[0.02365121 0.00336745 0.00992111 ... 0.02738093 0.         0.02120109]
30,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero149_38.jpg,pins_Ursula Corbero,[0.29667193 0.01329475 0.01667314 ... 0.05681454 0.01079139 0.02295375]
31,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero234_104.jpg,pins_Ursula Corbero,[0.07619506 0.01363    0.01482445 ... 0.03294176 0.00232545 0.02501659]
32,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero159_45.jpg,pins_Ursula Corbero,[0.09404323 0.01795279 0.01736696 ... 0.037648   0.00369861 0.03574774]
33,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero60_137.jpg,pins_Ursula Corbero,[0.25401634 0.02201986 0.01279143 ... 0.05385655 0.00643942 0.01296727]
34,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero175_59.jpg,pins_Ursula Corbero,"[3.58629227e-01 2.51095276e-03 5.52744754e-02 ... 1.18283562e-01
 2.70675344e-04 1.27308965e-02]"
35,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero56_134.jpg,pins_Ursula Corbero,[0.23223332 0.00646861 0.00889668 ... 0.06515265 0.06378462 0.01258875]
36,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero109_8.jpg,pins_Ursula Corbero,[0.21104303 0.07022399 0.00579127 ... 0.01007722 0.01027482 0.00892424]
37,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero171_57.jpg,pins_Ursula Corbero,[0.10073312 0.05968535 0.13377479 ... 0.00640188 0.05699955 0.01806274]
38,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero226_94.jpg,pins_Ursula Corbero,[0.16548371 0.01866391 0.05647455 ... 0.14541307 0.01168112 0.01817812]
39,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero48_128.jpg,pins_Ursula Corbero,[0.0215359  0.01950025 0.02819193 ... 0.02345518 0.         0.01133068]
40,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero176_60.jpg,pins_Ursula Corbero,[0.46027714 0.00992649 0.04554218 ... 0.08781318 0.02431431 0.00741087]
41,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero240_107.jpg,pins_Ursula Corbero,[0.19417587 0.07037526 0.11794456 ... 0.06545664 0.01847201 0.02020754]
42,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero42_126.jpg,pins_Ursula Corbero,[0.32218033 0.00291193 0.02594925 ... 0.0620501  0.00407836 0.01297772]
43,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero206_81.jpg,pins_Ursula Corbero,[0.31246093 0.09859941 0.01919156 ... 0.03700125 0.01423575 0.00426313]
44,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero130_27.jpg,pins_Ursula Corbero,[0.0904194  0.03160835 0.05505995 ... 0.0293961  0.00041089 0.01435282]
45,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero126_23.jpg,pins_Ursula Corbero,[0.2606681  0.00553477 0.00058354 ... 0.096499   0.09059363 0.01336337]
46,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero103_5.jpg,pins_Ursula Corbero,[0.29536134 0.00265276 0.02684821 ... 0.07056297 0.00167432 0.01350566]
47,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero162_49.jpg,pins_Ursula Corbero,[0.04882771 0.02826865 0.02369237 ... 0.10083517 0.00035116 0.05347252]
48,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero131_28.jpg,pins_Ursula Corbero,[0.03689705 0.03493993 0.0175792  ... 0.04604943 0.         0.01619591]
49,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero163_50.jpg,pins_Ursula Corbero,[0.29422823 0.04918682 0.01920203 ... 0.0497318  0.00931306 0.02677221]
50,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero224_92.jpg,pins_Ursula Corbero,[0.25400618 0.02485598 0.01294688 ... 0.04812705 0.03702873 0.02619658]
51,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero66_141.jpg,pins_Ursula Corbero,[0.0839967  0.         0.         ... 0.01300643 0.00302241 0.00897161]
52,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero58_135.jpg,pins_Ursula Corbero,[0.05063324 0.00806611 0.01711647 ... 0.02843714 0.         0.01735369]
53,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero125_22.jpg,pins_Ursula Corbero,[0.2723054  0.00359046 0.03248475 ... 0.08490244 0.00669239 0.00790375]
54,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero208_82.jpg,pins_Ursula Corbero,[0.29813907 0.002283   0.02736603 ... 0.07019268 0.00157013 0.01315027]
55,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero169_54.jpg,pins_Ursula Corbero,[0.269565   0.02901811 0.01329562 ... 0.03444369 0.0216272  0.0219582 ]
56,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero239_106.jpg,pins_Ursula Corbero,"[4.7076797e-01 7.1987815e-05 4.1595422e-02 ... 9.4148770e-02 4.4173934e-03
 1.2624521e-02]"
57,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero183_66.jpg,pins_Ursula Corbero,[0.18963249 0.04730946 0.01430544 ... 0.08173425 0.0032617  0.02776721]
58,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero158_44.jpg,pins_Ursula Corbero,[0.0643136  0.03812076 0.0253893  ... 0.10532595 0.00066973 0.06452497]
59,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero128_25.jpg,pins_Ursula Corbero,[0.20528266 0.025797   0.01265161 ... 0.02499395 0.00376436 0.00752135]
60,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero187_69.jpg,pins_Ursula Corbero,[0.39412957 0.01920188 0.07285084 ... 0.0659449  0.06381026 0.0192569 ]
61,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero186_68.jpg,pins_Ursula Corbero,[0.35796055 0.00917508 0.03256274 ... 0.04087004 0.00212533 0.01356738]
62,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero138_31.jpg,pins_Ursula Corbero,[0.27903023 0.01599948 0.01571975 ... 0.06218445 0.00741529 0.01670364]
63,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero116_15.jpg,pins_Ursula Corbero,[0.11902177 0.         0.00183934 ... 0.07787189 0.02665137 0.02089292]
64,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero35_119.jpg,pins_Ursula Corbero,[0.27714294 0.00178278 0.03832557 ... 0.07843609 0.         0.01722366]
65,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero140_33.jpg,pins_Ursula Corbero,[0.13963027 0.01419892 0.04674765 ... 0.02258544 0.01175713 0.01492721]
66,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero76_148.jpg,pins_Ursula Corbero,[0.11910815 0.01308437 0.00944945 ... 0.00122089 0.01567984 0.01006827]
67,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero69_143.jpg,pins_Ursula Corbero,[0.04320154 0.01243053 0.02379363 ... 0.02748033 0.         0.01500705]
68,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero161_48.jpg,pins_Ursula Corbero,[0.11953669 0.04425774 0.03946284 ... 0.04937316 0.02216724 0.02757472]
69,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero33_118.jpg,pins_Ursula Corbero,[0.14160618 0.02712926 0.02076638 ... 0.06387087 0.01141038 0.03091587]
70,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero31_116.jpg,pins_Ursula Corbero,[0.07054675 0.00287461 0.01264619 ... 0.03805577 0.         0.02457037]
71,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero65_140.jpg,pins_Ursula Corbero,[0.38735953 0.01902804 0.08146802 ... 0.05100083 0.00296921 0.01268965]
72,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero228_96.jpg,pins_Ursula Corbero,[0.16292831 0.00980053 0.02267199 ... 0.05523108 0.00439068 0.02197608]
73,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero15_39.jpg,pins_Ursula Corbero,[0.04926138 0.08156226 0.05835293 ... 0.0519049  0.         0.02239467]
74,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero194_73.jpg,pins_Ursula Corbero,[0.0785632  0.01417605 0.01628591 ... 0.0648836  0.00011953 0.05412652]
75,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero154_43.jpg,pins_Ursula Corbero,[0.03494183 0.00362133 0.01073449 ... 0.024716   0.         0.01577466]
76,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero32_117.jpg,pins_Ursula Corbero,[0.19520067 0.01854057 0.02329303 ... 0.07866687 0.00469831 0.04134452]
77,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero79_151.jpg,pins_Ursula Corbero,[0.21166337 0.0099159  0.02342295 ... 0.09933394 0.00128781 0.04741418]
78,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero242_109.jpg,pins_Ursula Corbero,[0.30439296 0.02322777 0.01445738 ... 0.05499641 0.04134458 0.02375996]
79,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero22_87.jpg,pins_Ursula Corbero,[0.09900122 0.02645973 0.01453264 ... 0.04045664 0.00505327 0.03287853]
80,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero108_7.jpg,pins_Ursula Corbero,[0.12457984 0.02458471 0.01654273 ... 0.0510295  0.00071673 0.04750941]
81,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero182_64.jpg,pins_Ursula Corbero,[0.06801599 0.         0.01186655 ... 0.01982428 0.         0.03104092]
82,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero10_2.jpg,pins_Ursula Corbero,[0.06472413 0.07435786 0.06647262 ... 0.04735995 0.         0.01597564]
83,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero83_156.jpg,pins_Ursula Corbero,[0.39027333 0.02125197 0.08286635 ... 0.0721432  0.02508367 0.01824654]
84,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero244_110.jpg,pins_Ursula Corbero,[0.11722989 0.2102765  0.02184949 ... 0.04795009 0.00366306 0.07574025]
85,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero137_30.jpg,pins_Ursula Corbero,[0.13049425 0.03385454 0.02080021 ... 0.10486116 0.00059663 0.05703338]
86,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero160_47.jpg,pins_Ursula Corbero,[0.17714722 0.0023699  0.04812383 ... 0.0540655  0.00567583 0.03739394]
87,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero54_132.jpg,pins_Ursula Corbero,[0.25655374 0.02195779 0.04248978 ... 0.08698603 0.01495373 0.03553396]
88,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero3_115.jpg,pins_Ursula Corbero,[0.06516016 0.07778547 0.06789553 ... 0.05031595 0.         0.01404405]
89,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero170_56.jpg,pins_Ursula Corbero,[0.29840437 0.11122102 0.01370132 ... 0.03472211 0.01207771 0.00411335]
90,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero127_24.jpg,pins_Ursula Corbero,[0.24756323 0.02028911 0.01350837 ... 0.03813022 0.0191242  0.01912178]
91,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero141_34.jpg,pins_Ursula Corbero,[0.04820505 0.07128741 0.06097833 ... 0.04394638 0.         0.02553954]
92,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero8_152.jpg,pins_Ursula Corbero,[0.02683865 0.00212272 0.0099365  ... 0.02186773 0.         0.01995815]
93,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero235_105.jpg,pins_Ursula Corbero,[0.05533848 0.03117305 0.03536465 ... 0.03322771 0.         0.02363699]
94,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero188_70.jpg,pins_Ursula Corbero,[0.03945717 0.01138584 0.02025628 ... 0.03376726 0.         0.02687789]
95,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero100_3.jpg,pins_Ursula Corbero,[0.0239945  0.01357905 0.0277248  ... 0.02454722 0.         0.01885255]
96,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero241_108.jpg,pins_Ursula Corbero,[0.06326861 0.09572203 0.05701431 ... 0.06337976 0.00081517 0.00971579]
97,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero107_6.jpg,pins_Ursula Corbero,[0.50958437 0.00706689 0.06418498 ... 0.11884078 0.00577097 0.01420738]
98,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero59_136.jpg,pins_Ursula Corbero,[0.04950902 0.01706793 0.01479115 ... 0.03224031 0.00018558 0.01948162]
99,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero44_127.jpg,pins_Ursula Corbero,[0.03820724 0.01558182 0.01183283 ... 0.02395496 0.         0.01470716]
100,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero50_130.jpg,pins_Ursula Corbero,[0.32074472 0.02267255 0.0290578  ... 0.05660424 0.01715858 0.0137187 ]
101,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero132_29.jpg,pins_Ursula Corbero,[0.17522652 0.01720097 0.02678053 ... 0.02475739 0.02408609 0.01127026]
102,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero114_13.jpg,pins_Ursula Corbero,[0.09795018 0.03371854 0.01260028 ... 0.07470407 0.0026248  0.01620856]
103,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero113_12.jpg,pins_Ursula Corbero,[0.28284338 0.10478391 0.00675272 ... 0.0091067  0.02727907 0.00377199]
104,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero147_36.jpg,pins_Ursula Corbero,[0.18125682 0.02809977 0.03500234 ... 0.06848015 0.         0.01845513]
105,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero78_150.jpg,pins_Ursula Corbero,[0.05120024 0.01375298 0.02215673 ... 0.06453045 0.00117304 0.04484976]
106,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero195_74.jpg,pins_Ursula Corbero,[0.03797685 0.00602666 0.01012299 ... 0.02761736 0.         0.01893168]
107,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero115_14.jpg,pins_Ursula Corbero,[0.03282482 0.00228364 0.01009127 ... 0.02107073 0.         0.01793098]
108,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero93_163.jpg,pins_Ursula Corbero,[0.2403974  0.01458612 0.01110408 ... 0.03224367 0.01478907 0.01021589]
109,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero98_167.jpg,pins_Ursula Corbero,[0.34703648 0.00271029 0.0238292  ... 0.07366143 0.00856031 0.01708123]
110,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero220_88.jpg,pins_Ursula Corbero,[0.06068449 0.03317381 0.04201254 ... 0.03225098 0.         0.01956491]
111,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero148_37.jpg,pins_Ursula Corbero,[0.04905162 0.0372519  0.05108595 ... 0.02365456 0.         0.01098821]
112,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero73_146.jpg,pins_Ursula Corbero,[0.44721213 0.01288745 0.11734691 ... 0.03228799 0.00341389 0.01371731]
113,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero185_67.jpg,pins_Ursula Corbero,[0.11273063 0.0300745  0.04371266 ... 0.08540659 0.         0.03243783]
114,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero183_65.jpg,pins_Ursula Corbero,[0.30572185 0.03199134 0.08684849 ... 0.04328066 0.01705617 0.01127884]
115,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero11_9.jpg,pins_Ursula Corbero,[0.06148545 0.01319653 0.01968866 ... 0.04016846 0.         0.02151947]
116,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero117_16.jpg,pins_Ursula Corbero,[0.01413674 0.00212378 0.01358863 ... 0.0119102  0.         0.00917837]
117,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero90_161.jpg,pins_Ursula Corbero,[0.17540078 0.0132329  0.04152273 ... 0.0320837  0.00590241 0.01394101]
118,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero82_155.jpg,pins_Ursula Corbero,[0.0414258  0.0270222  0.01830501 ... 0.08792609 0.         0.04406114]
119,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero227_95.jpg,pins_Ursula Corbero,[0.06783955 0.01514892 0.03495812 ... 0.00335334 0.0063498  0.01510706]
120,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero221_89.jpg,pins_Ursula Corbero,[0.10530265 0.01466271 0.01935308 ... 0.03377244 0.00270577 0.02623953]
121,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero118_17.jpg,pins_Ursula Corbero,[0.25616053 0.01473314 0.01158915 ... 0.04423736 0.04031463 0.01990216]
122,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero62_138.jpg,pins_Ursula Corbero,[0.06753077 0.00024763 0.01221579 ... 0.03107517 0.         0.02710193]
123,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero36_120.jpg,pins_Ursula Corbero,[0.03826954 0.01613243 0.01264307 ... 0.0446246  0.         0.01513249]
124,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero0_0.jpg,pins_Ursula Corbero,[0.31565532 0.04907684 0.02465898 ... 0.02840811 0.02071205 0.00339354]
125,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero200_78.jpg,pins_Ursula Corbero,[0.11140662 0.         0.01294445 ... 0.00500613 0.         0.10410322]
126,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero84_157.jpg,pins_Ursula Corbero,[0.04489156 0.04133534 0.04670073 ... 0.025813   0.         0.01136925]
127,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero96_165.jpg,pins_Ursula Corbero,[0.2993813  0.05218808 0.01964144 ... 0.04864793 0.01509126 0.01075551]
128,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero40_124.jpg,pins_Ursula Corbero,[0.3216058  0.03829611 0.02850303 ... 0.04800304 0.01854822 0.00793715]
129,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero92_162.jpg,pins_Ursula Corbero,[0.28284338 0.10478391 0.00675272 ... 0.0091067  0.02727907 0.00377199]
130,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero129_26.jpg,pins_Ursula Corbero,[0.14400002 0.02280559 0.01662022 ... 0.06910288 0.00135476 0.04532401]
131,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero111_11.jpg,pins_Ursula Corbero,[0.04754713 0.         0.00771234 ... 0.00826503 0.0063518  0.08794453]
132,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero230_101.jpg,pins_Ursula Corbero,[0.15876603 0.21918303 0.024226   ... 0.05923435 0.02284418 0.08012302]
133,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero205_80.jpg,pins_Ursula Corbero,[0.183055   0.01945914 0.02065578 ... 0.09392382 0.0013369  0.05207009]
134,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero203_79.jpg,pins_Ursula Corbero,[0.05599533 0.00074696 0.01624482 ... 0.03115578 0.         0.03589213]
135,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero219_86.jpg,pins_Ursula Corbero,[0.3216058  0.03829611 0.02850303 ... 0.04800304 0.01854822 0.00793715]
136,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero213_83.jpg,pins_Ursula Corbero,[0.05084825 0.         0.01327791 ... 0.00435652 0.         0.03808478]
137,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero37_121.jpg,pins_Ursula Corbero,[0.14160618 0.02712926 0.02076638 ... 0.06387087 0.01141038 0.03091587]
138,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero167_52.jpg,pins_Ursula Corbero,[0.0308966  0.02857592 0.03123215 ... 0.02035843 0.         0.00801553]
139,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero152_41.jpg,pins_Ursula Corbero,[0.265208   0.05251215 0.01699571 ... 0.04168444 0.00515683 0.02638909]
140,/content/105_classes_pins_dataset/pins_Ursula Corbero/Ursula Corbero123_21.jpg,pins_Ursula Corbero,[0.2775754  0.00105506 0.04080243 ... 0.06377365 0.00169772 0.01879964]
141,/content/105_classes_pins_dataset/pins_scarlett johansson/scarlett johansson190_3970.jpg,pins_scarlett johansson,[0.08622316 0.0829813  0.074953   ... 0.07511459 0.0002539  0.01012959]
142,/content/105_classes_pins_dataset/pins_scarlett johansson/scarlett johansson122_3904.jpg,pins_scarlett johansson,[0.20832492 0.         0.03689829 ... 0.02621202 0.         0.01198581]
